session_date,observer_id,session_id,location _d,participant_id,Gender,session_start,session_end,observer/session/task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,int_task_id_2,int_start_2,int_end_2,active_1,active_2,active_3,inactive_1,inactive_2,is_session_complete?
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_16,Off-Screen,1:05:09,1:07:39,0:02:30,0:02:30,150,0,0,Off-Screen,10040_10120_17,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:30,,,,,TRUE
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_19,Off-Screen,1:07:51,1:10:16,0:02:25,0:02:25,145,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:25,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_18,Off-Screen,13:46:13,13:48:37,0:02:24,0:02:24,144,0,0,Off-Screen,session,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:24,,,,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_18,Off-Screen,13:46:13,13:48:37,0:02:24,0:02:24,144,0,0,Off-Screen,session,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:24,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_4,Off-Screen,0:42:47,0:44:59,0:02:12,0:02:12,132,0,0,Off-Screen,10040_10221_5,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:12,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_7,Off-Screen,12:23:15,12:25:26,0:02:11,0:02:11,131,0,0,Off-Screen,10020_10087_8,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:11,,,,,TRUE
1-Jun-21,10040,10040,Season1 Episode 1,Bob Kelso,M,1:34:14,1:59:51,10040_10040_16,Off-Screen,1:57:40,1:59:51,0:02:11,0:02:11,131,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:11,,,,,TRUE
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_1,Off-Screen,0:48:13,0:50:21,0:02:08,0:02:08,128,0,0,Off-Screen,10040_10120_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:08,,,,,TRUE
3-Jun-21,10020,10086,S1E15,Bob Kelso,M,12:44:51,13:12:48,10020_10086_1,Off-Screen,12:44:51,12:46:55,0:02:04,0:02:04,124,0,0,Off-Screen,10020_10086_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:04,,,,,TRUE
12-Apr-21,10040,10000,Episode 1 Season 1,Bob Kelso,M,23:20:18,23:43:38,10040_10000_16,Off-Screen,23:41:36,23:43:38,0:02:02,0:02:02,122,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:02,,,,,TRUE
